iter	Passed	Remaining
399	65196	65196
400	65357	65031
401	65524	64872
402	65684	64706
403	65851	64547
404	66013	64383
405	66181	64224
406	66344	64062
407	66509	63901
408	66671	63737
409	66836	63576
410	67002	63415
411	67163	63251
412	67319	63081
413	67490	62926
414	67659	62768
415	67831	62613
416	67997	62453
417	68154	62285
418	68317	62121
419	68485	61962
420	68650	61801
421	68814	61639
422	68980	61479
423	69142	61315
424	69310	61156
425	69483	61002
426	69645	60838
427	69810	60676
428	69963	60504
429	70123	60338
430	70289	60178
431	70456	60018
432	70626	59861
433	70791	59699
434	70956	59538
435	71127	59381
436	71292	59219
437	71462	59062
438	71627	58901
439	71791	58738
440	71956	58576
441	72124	58417
442	72286	58253
443	72448	58089
444	72607	57922
445	72777	57764
446	72941	57602
447	73104	57438
448	73274	57281
449	73440	57120
450	73603	56957
451	73769	56796
452	73941	56639
453	74114	56483
454	74288	56328
455	74465	56175
456	74641	56021
457	74813	55865
458	74989	55711
459	75171	55561
460	75335	55398
461	75502	55237
462	75669	55077
463	75829	54911
464	76000	54752
465	76166	54591
466	76333	54430
467	76496	54266
468	76664	54106
469	76831	53945
470	76994	53781
471	77172	53628
472	77346	53472
473	77517	53313
474	77686	53154
475	77857	52995
476	78035	52841
477	78209	52684
478	78374	52522
479	78539	52359
480	78699	52193
481	78866	52031
482	79027	51866
483	79189	51702
484	79350	51536
485	79516	51375
486	79683	51213
487	79848	51050
488	80020	50892
489	80191	50733
490	80351	50567
491	80510	50401
492	80679	50240
493	80837	50073
494	81003	49910
495	81168	49748
496	81332	49584
497	81497	49422
498	81664	49260
499	81826	49096
500	81994	48934
501	82167	48776
502	82335	48615
503	82493	48448
504	82658	48285
505	82819	48120
506	82992	47961
507	83153	47796
508	83317	47633
509	83480	47469
510	83647	47307
511	83809	47142
512	83979	46982
513	84146	46820
514	84314	46659
515	84473	46493
516	84643	46333
517	84807	46169
518	84978	46009
519	85140	45845
520	85304	45681
521	85464	45515
522	85632	45353
523	85799	45192
524	85965	45029
525	86127	44864
526	86291	44701
527	86454	44536
528	86615	44371
529	86777	44207
530	86943	44044
531	87111	43883
532	87279	43721
533	87444	43558
534	87609	43395
535	87768	43229
536	87934	43066
537	88095	42901
538	88261	42739
539	88427	42576
540	88589	42411
541	88752	42247
542	88911	42081
543	89084	41922
544	89247	41757
545	89414	41595
546	89575	41430
547	89738	41266
548	89904	41104
549	90069	40940
550	90233	40776
551	90399	40614
552	90571	40454
553	90738	40291
554	90899	40126
555	91065	39964
556	91226	39798
557	91390	39635
558	91553	39471
559	91718	39308
560	91880	39143
561	92047	38981
562	92209	38816
563	92376	38654
564	92546	38492
565	92712	38329
566	92876	38166
567	93041	38003
568	93206	37839
569	93372	37676
570	93538	37513
571	93706	37351
572	93878	37190
573	94045	37028
574	94214	36866
575	94376	36702
576	94538	36537
577	94709	36376
578	94872	36212
579	95039	36049
580	95207	35887
581	95373	35723
582	95534	35558
583	95692	35392
584	95861	35231
585	96032	35069
586	96192	34904
587	96359	34742
588	96523	34578
589	96687	34414
590	96854	34251
591	97022	34089
592	97185	33924
593	97346	33759
594	97516	33597
595	97681	33434
596	97850	33272
597	98026	33112
598	98189	32948
599	98352	32784
600	98523	32622
601	98689	32459
602	98852	32295
603	99020	32132
604	99186	31969
605	99350	31805
606	99522	31643
607	99687	31480
608	99853	31316
609	100021	31154
610	100187	30990
611	100353	30827
612	100519	30664
613	100688	30501
614	100857	30339
615	101022	30175
616	101186	30011
617	101353	29848
618	101522	29685
619	101689	29522
620	101850	29357
621	102020	29195
622	102182	29031
623	102340	28865
624	102507	28702
625	102675	28539
626	102843	28376
627	103006	28211
628	103168	28047
629	103334	27883
630	103501	27720
631	103667	27557
632	103830	27392
633	103997	27229
634	104169	27067
635	104343	26906
636	104521	26745
637	104695	26584
638	104859	26420
639	105023	26255
640	105184	26090
641	105352	25927
642	105517	25764
643	105675	25598
644	105837	25433
645	106007	25271
646	106177	25108
647	106338	24943
648	106505	24780
649	106674	24617
650	106836	24452
651	106998	24287
652	107158	24122
653	107325	23959
654	107495	23796
655	107662	23633
656	107826	23469
657	107991	23305
658	108161	23142
659	108320	22977
660	108483	22812
661	108648	22648
