iter	RMSE
121	0.9789459707
122	0.9788805726
123	0.9788256922
124	0.9787561776
125	0.9786990098
126	0.9786256258
127	0.9785815778
128	0.9785327216
129	0.9784893457
130	0.9784417803
131	0.9783770201
132	0.9783278535
133	0.9782853492
134	0.9782528727
135	0.9781643493
136	0.9781113134
137	0.9780801368
138	0.9780171387
139	0.9779521506
140	0.9779101044
141	0.977878918
142	0.9778264509
143	0.9777858499
144	0.9777619358
145	0.9776897814
146	0.9776489964
147	0.9776045633
148	0.9775562774
149	0.9774988331
150	0.9774690796
151	0.9774024286
152	0.9773642409
153	0.977320548
154	0.9772828514
155	0.9772229823
156	0.9771851633
157	0.9771292919
158	0.9770834256
159	0.9770526811
160	0.9769980038
161	0.9769440434
162	0.9768441651
163	0.9767900649
164	0.9767552697
165	0.976699305
166	0.9766429843
167	0.9765879962
168	0.9765556388
169	0.9765100138
170	0.976495523
171	0.9764446619
172	0.9764078125
173	0.9763702964
174	0.9763672301
175	0.9763034425
176	0.9762150776
177	0.9761790103
178	0.9761580708
179	0.9761339024
180	0.9760717863
181	0.9760440298
182	0.9760076953
183	0.9759741597
184	0.9759366992
185	0.9759144756
186	0.9758876111
187	0.9758377168
188	0.9758062688
189	0.9757698368
190	0.9757297417
191	0.9757071595
192	0.9756668503
193	0.975635994
194	0.9756017795
195	0.9755557377
196	0.9755332083
197	0.9754782043
198	0.9754375257
199	0.9754104155
200	0.9753779154
201	0.9753296682
202	0.9752921036
203	0.9752285223
204	0.9751866501
205	0.9751225192
206	0.9750947665
207	0.9750479124
208	0.9749866206
209	0.9749304327
210	0.9748882652
211	0.9748595094
212	0.9748439121
213	0.9747668405
214	0.9747300255
215	0.9746838191
216	0.9746464652
217	0.9746101324
218	0.9745384456
219	0.9744933002
220	0.9744564985
221	0.9744131552
222	0.9744052728
223	0.9743502463
224	0.9743168737
225	0.9742443961
226	0.9741857197
227	0.9741182257
228	0.9740786361
229	0.974036616
230	0.9739852866
231	0.9739547765
232	0.973936504
233	0.9738962771
234	0.9738284091
235	0.9737848569
236	0.9737582948
237	0.9737200918
238	0.9736781284
239	0.9736215463
240	0.9735682557
241	0.9735241857
242	0.9734805886
243	0.9734516473
244	0.9734217863
245	0.9733656863
246	0.9733015814
247	0.9732380355
248	0.9731546299
249	0.9730798542
250	0.9730430296
251	0.9730161232
252	0.9729500177
253	0.972927221
254	0.9728764197
255	0.9727960732
256	0.9727870541
257	0.9727221915
258	0.9726906665
259	0.9726387551
260	0.972636124
261	0.9725648663
262	0.9724925495
263	0.9724217805
264	0.9723435791
265	0.9723059629
266	0.9722635538
267	0.9721739806
268	0.9721211234
269	0.9720660922
270	0.9719881233
271	0.9719487857
272	0.9718956723
273	0.9718614792
274	0.9718045947
275	0.9717197797
276	0.9716710161
277	0.97163087
278	0.9715904755
279	0.9715517985
280	0.9714970799
281	0.9714380609
282	0.9713893705
283	0.9713258347
284	0.9712616667
285	0.9712065756
286	0.9711375271
287	0.9710351903
288	0.9709950291
289	0.970936617
290	0.9708725382
291	0.9708310962
292	0.9707913333
293	0.9707401802
294	0.9706948843
295	0.9706580122
296	0.9706315146
297	0.9705612013
298	0.9705378046
299	0.9704756521
300	0.9704427941
301	0.9703457157
302	0.9703006934
303	0.9702378956
304	0.9702113739
305	0.9701816331
306	0.9701352791
307	0.9700864842
308	0.9700531143
309	0.9700189824
310	0.9699736774
311	0.9699443792
312	0.9699118048
313	0.9698624572
314	0.9698148822
315	0.9697732566
316	0.9697494995
317	0.9696478258
318	0.9696107573
319	0.9695278664
320	0.9694837408
321	0.9694138343
322	0.9693509306
323	0.96929635
324	0.9692545937
325	0.9692270999
326	0.9691880665
327	0.969135047
328	0.9690876721
329	0.9690270049
330	0.9689517129
331	0.9689225842
332	0.9688873573
333	0.9688183552
334	0.9687542061
335	0.9687247468
336	0.9686880356
337	0.9686589223
338	0.968552843
339	0.9685249547
340	0.9684764059
341	0.9684248393
342	0.9683528198
343	0.9682742958
344	0.9682467883
345	0.9681991591
346	0.9681226445
347	0.9680537704
348	0.9679752236
349	0.9679195197
350	0.9678927392
351	0.9678311866
352	0.9677470703
353	0.9677109565
354	0.9676859107
355	0.9676590299
356	0.9675865934
357	0.9675563776
358	0.9675204537
359	0.9674903765
360	0.9674384683
361	0.9674034502
362	0.9673429808
363	0.9673022045
364	0.9672627273
365	0.9672172977
366	0.9671799597
367	0.9671251053
368	0.9670879241
369	0.9670337421
370	0.9669691039
371	0.9669254476
372	0.9669000957
373	0.9668244948
374	0.9667717952
375	0.9667213477
376	0.9666783954
377	0.9666485862
378	0.9665813553
379	0.9665436318
380	0.9665092701
381	0.9664777106
382	0.9664111887
383	0.9663771192
384	0.9663337877
385	0.9662802047
386	0.9662443619
387	0.9662158098
388	0.9661297585
389	0.966085489
390	0.966055831
391	0.9659988369
392	0.9659470782
393	0.9658681893
394	0.9658202903
395	0.9657879725
396	0.9657262725
397	0.9656806692
398	0.9656339541
399	0.9655456702
400	0.9655193516
401	0.9654629039
402	0.9653745874
403	0.9653122013
404	0.9652504862
405	0.9651886483
406	0.9651518577
407	0.9650732988
408	0.9649939168
409	0.9649498832
410	0.9648628378
411	0.9648351771
412	0.9647929652
413	0.964751739
414	0.9646982404
415	0.9646514317
416	0.9646138643
417	0.9645471545
418	0.9644651357
419	0.9644071498
420	0.9643596398
421	0.9643237159
422	0.9642705557
423	0.964239843
424	0.9641815756
425	0.9641522544
426	0.9640970844
427	0.96401502
428	0.9639824092
429	0.963924426
430	0.9638825433
431	0.9638323863
432	0.9637924754
433	0.9637686417
434	0.9637226718
435	0.9636479464
436	0.9636078317
437	0.9635636612
438	0.9635069127
439	0.9634708748
440	0.9634326289
441	0.963393171
442	0.9633332788
443	0.9632657354
444	0.9632046111
445	0.9631634722
446	0.9631235809
447	0.963085877
448	0.9630342828
449	0.9629663965
450	0.9629375581
451	0.9628837264
452	0.9628100877
453	0.962787887
454	0.9627084252
455	0.9626904247
456	0.9626294313
457	0.9625736923
458	0.9625324375
459	0.9624907587
460	0.9624608928
461	0.9624193457
462	0.9623853642
463	0.9623552771
464	0.9623094698
465	0.9622545129
466	0.9622119919
467	0.9621191187
468	0.9620349996
469	0.9619811429
470	0.9618951692
471	0.9618414727
472	0.9618266893
473	0.9618055013
474	0.96173621
475	0.9617002876
476	0.9616601341
477	0.9616365533
478	0.9615833391
479	0.9615292426
480	0.9614917347
481	0.9614670658
482	0.9614273155
483	0.961370891
484	0.9613392965
485	0.9612879369
486	0.9612442897
487	0.9611844462
488	0.9611348362
489	0.9610854885
490	0.9610456423
491	0.9609766785
492	0.9609259264
493	0.9608650789
494	0.9608065281
495	0.9607516071
496	0.9607350205
497	0.9606822022
498	0.9606510848
499	0.9605966442
500	0.9605376827
501	0.9604893189
502	0.9604506227
503	0.9604289468
504	0.9603988728
505	0.9603637016
506	0.9603053341
507	0.960241211
508	0.9602111062
509	0.9601510847
510	0.9601140973
511	0.9600718686
512	0.9600038046
513	0.9599613945
514	0.9599357137
515	0.9599034287
516	0.9598690236
517	0.9598390853
518	0.9597988826
519	0.9597581211
520	0.9597309706
521	0.9597028484
522	0.9596473169
523	0.9595760854
524	0.9595126127
525	0.9594761328
526	0.9594364659
527	0.9593886496
528	0.9593365316
529	0.9592749643
530	0.9592410965
531	0.9592128482
532	0.9591804835
533	0.9591295642
534	0.959054407
535	0.9590353371
536	0.9589799
537	0.9589491422
538	0.9589135363
539	0.9588738189
540	0.9588123039
541	0.9587375484
542	0.9586713633
543	0.9586228219
544	0.958577749
545	0.9585400684
546	0.9585192774
547	0.9584940819
548	0.9584344952
549	0.9584050121
550	0.9583595211
551	0.9583082513
552	0.9582687959
553	0.9582233879
554	0.9581890449
555	0.9581056759
556	0.9580580224
557	0.9580169519
558	0.9579612591
559	0.9578957357
560	0.9578615083
561	0.9577680796
562	0.9577086256
563	0.9576462631
564	0.9575968464
565	0.9575509552
566	0.9575147845
567	0.9574845959
568	0.9574476702
569	0.957407915
570	0.9573540979
571	0.9572838874
572	0.9572459236
573	0.9572085011
574	0.9571492636
575	0.9571055162
576	0.9570503112
577	0.9570068379
578	0.9569734622
579	0.9569486026
580	0.9569136027
581	0.9568774227
582	0.956830037
583	0.9567931371
584	0.9567361219
585	0.9566730635
586	0.956624463
587	0.9565924564
588	0.9565638979
589	0.9565366506
590	0.9564847135
591	0.956447092
592	0.9564049299
593	0.9563592454
594	0.9563273142
595	0.9562754992
596	0.9562432801
597	0.956207424
598	0.956178397
599	0.9561394102
600	0.9561114419
601	0.9560554739
602	0.9560157463
603	0.9559646635
604	0.9559190212
605	0.9558603248
606	0.9557733501
607	0.9557158171
608	0.9556587007
609	0.955614072
610	0.9555588772
611	0.9554943971
612	0.9554160384
613	0.9553892972
614	0.9553469014
615	0.9553057859
616	0.9552716737
617	0.9552378768
618	0.9552027509
619	0.9551247629
620	0.9550787454
621	0.9550344181
622	0.9550033237
623	0.9549752783
624	0.9549137133
625	0.9548759251
626	0.9548200471
627	0.9547714076
628	0.9547225163
629	0.9546704965
630	0.9546341652
631	0.9546023832
632	0.9545786859
633	0.954525572
634	0.9544891613
635	0.9544462007
636	0.9544092047
637	0.9543820509
638	0.9543366257
639	0.9543008438
640	0.9542536056
641	0.9541871145
642	0.9541584594
643	0.9540871503
644	0.954067598
645	0.9540075165
646	0.9539675848
647	0.9539341101
648	0.9538969498
649	0.9538466523
650	0.9538284618
651	0.9538102452
652	0.9537692554
653	0.9537221086
654	0.9536837874
655	0.9536521677
656	0.9536258012
657	0.9535686405
658	0.9535183106
659	0.9534885238
660	0.953441629
661	0.9534214877
662	0.9533694539
663	0.9532991592
664	0.9532568861
665	0.9532294621
666	0.9532006217
667	0.9531571871
668	0.9531266316
669	0.9530983764
670	0.953057336
671	0.9530210377
672	0.9529811054
673	0.952955423
674	0.952900832
675	0.9528725319
676	0.9528561979
677	0.9528190011
678	0.9527443194
679	0.9527024591
680	0.9526703778
681	0.9526451815
682	0.9526103964
683	0.9525453172
684	0.9524928971
685	0.9524240943
686	0.9523818473
687	0.9523523616
688	0.9523050386
689	0.9522715086
690	0.9522376149
691	0.9521813524
692	0.9521334707
693	0.9521035519
694	0.9520428491
695	0.9519974465
696	0.9519573151
697	0.9519353975
698	0.9519162621
699	0.9518826397
700	0.9518221908
701	0.9517792162
702	0.9517103539
703	0.9516779471
704	0.9516419102
705	0.9516177484
706	0.9515598147
707	0.9515061278
708	0.9514348664
709	0.9513544471
710	0.9512912654
711	0.9512672437
712	0.9512309085
713	0.9511659403
714	0.9511287072
715	0.9510754185
716	0.9510369425
717	0.9509922095
718	0.9509412062
719	0.9509117764
720	0.9508738201
721	0.9508149783
722	0.9507521118
723	0.9506960658
724	0.9506378561
725	0.9505893028
726	0.9505605047
727	0.9505231527
728	0.9504912555
729	0.9504235554
730	0.9503942209
731	0.9503477209
732	0.9502825987
733	0.9502614632
734	0.9502408694
735	0.9502206282
736	0.9502039663
737	0.9501703779
738	0.9500974145
739	0.9500733629
740	0.9500038572
741	0.9499423357
742	0.9499002559
743	0.9498666047
744	0.949835104
745	0.9497824096
746	0.9497652215
747	0.9497459789
748	0.9497115023
749	0.9496540545
750	0.9496050914
751	0.9495716078
752	0.9495357196
753	0.9495085201
754	0.9494582084
755	0.9494343055
756	0.9493964373
757	0.9493609721
758	0.9493189961
759	0.9492729161
760	0.9492562931
761	0.9492225341
762	0.9491813819
763	0.9491321345
764	0.9490910134
765	0.9490204086
766	0.9489874713
767	0.9489313706
768	0.9488810907
769	0.9488587583
770	0.9488390863
771	0.9487982608
772	0.9487429585
773	0.9487296042
774	0.9486803366
775	0.9486550421
776	0.9486398433
777	0.9486085732
778	0.9485735891
779	0.94854659
780	0.9485048856
781	0.948471912
782	0.948431844
783	0.9483849261
784	0.9483470994
785	0.9482755265
786	0.9482532817
787	0.9481933064
788	0.9481356686
789	0.9480934459
790	0.9480423761
791	0.9480218494
792	0.9479971608
793	0.9479561801
794	0.9479021293
795	0.9478309015
796	0.947770303
797	0.9477344492
798	0.9477101014
799	0.9476568531
